size,school,D&C,Karatsuba
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0.000333333
17,0,0,0
18,0,0,0
19,0,0,0
20,0.000333333,0,0
21,0,0,0
22,0,0,0
23,0.000333333,0,0
24,0.000333333,0,0
25,0.000333333,0,0.000333333
26,0,0.000333333,0
27,0.000666667,0,0
28,0.000666667,0,0
29,0.000666667,0,0
30,0.000333333,0.000333333,0
31,0.000666667,0.000333333,0
32,0.000333333,0.000333333,0
33,0.000333333,0.000333333,0
34,0.000666667,0.000333333,0
35,0.000666667,0,0
36,0.000666667,0,0
37,0.000333333,0,0.000666667
38,0.000666667,0.000333333,0.000333333
39,0.001,0.000333333,0
40,0.001,0,0
41,0,0.000666667,0.000333333
42,0.001,0.000333333,0
43,0.001,0,0
44,0.00133333,0.000333333,0.000333333
45,0.001,0,0
46,0.000666667,0.000333333,0
47,0.00133333,0,0.000666667
48,0.000666667,0.000333333,0.000333333
49,0.001,0,0.000333333
50,0.001,0,0.000333333
51,0.00133333,0.000333333,0
52,0.00133333,0,0.000333333
53,0.002,0.000666667,0
54,0.002,0.000666667,0
55,0.00133333,0.000666667,0
56,0.00133333,0.000333333,0
57,0.00133333,0,0.000666667
58,0.00466667,0,0
59,0.001,0,0.000666667
60,0.00133333,0.000333333,0.000333333
61,0.002,0.001,0
62,0.00266667,0.000666667,0.000333333
63,0.00166667,0,0.000666667
64,0.00166667,0.000333333,0
65,0.002,0.000666667,0
66,0.002,0.000666667,0
67,0.002,0.000333333,0.000666667
68,0.002,0.000333333,0.000333333
69,0.002,0.001,0
70,0.00233333,0.000666667,0
71,0.002,0.001,0
72,0.002,0.001,0
73,0.00233333,0.001,0
74,0.003,0.000333333,0.000666667
75,0.00233333,0.000666667,0.000333333
76,0.003,0.000666667,0
77,0.00266667,0.000666667,0.000333333
78,0.003,0.000666667,0.000333333
79,0.00533333,0.001,0.000666667
80,0.00533333,0.00166667,0.000333333
81,0.00333333,0.001,0.000333333
82,0.00366667,0.000666667,0.000333333
83,0.00433333,0.001,0.000333333
84,0.00433333,0.00133333,0.000333333
85,0.007,0.001,0
86,0.005,0.001,0.000333333
87,0.005,0.000666667,0.000666667
88,0.004,0.001,0
89,0.00433333,0.001,0
90,0.00466667,0.001,0
91,0.004,0.001,0
92,0.005,0.001,0.000333333
93,0.004,0.000333333,0.000666667
94,0.00466667,0.000666667,0.000333333
95,0.00466667,0.000666667,0.000333333
96,0.00433333,0.001,0.000333333
97,0.005,0.00133333,0.000333333
98,0.005,0.001,0
99,0.00533333,0.00133333,0
100,0.00633333,0.001,0
101,0.006,0.001,0
102,0.006,0.00133333,0
103,0.00533333,0.000666667,0.000333333
104,0.006,0.001,0
105,0.00633333,0.001,0
106,0.00633333,0.001,0
107,0.007,0.001,0.000333333
108,0.00633333,0.00133333,0
109,0.00633333,0.001,0.000666667
110,0.00733333,0.001,0.000333333
111,0.009,0.001,0.000333333
112,0.00966667,0.001,0.000666667
113,0.00966667,0.002,0.001
114,0.00866667,0.001,0.000333333
115,0.00766667,0.001,0.000333333
116,0.00766667,0.00166667,0.000333333
117,0.008,0.00133333,0.000333333
118,0.00866667,0.001,0.001
119,0.009,0.001,0.000666667
120,0.00866667,0.00166667,0
121,0.01,0.002,0.000333333
122,0.00966667,0.00166667,0.000333333
123,0.00933333,0.00133333,0.000333333
124,0.00933333,0.00133333,0.000333333
125,0.0103333,0.00133333,0.000666667
126,0.0103333,0.00133333,0.000666667
127,0.01,0.00166667,0.000333333
128,0.0116667,0.00133333,0.000666667
129,0.0106667,0.00133333,0.001
130,0.0106667,0.00166667,0.000666667
131,0.011,0.00133333,0.001
132,0.0126667,0.00266667,0.000333333
133,0.0116667,0.002,0.000333333
134,0.012,0.00166667,0.001
135,0.0123333,0.00166667,0.000666667
136,0.0126667,0.00166667,0.000666667
137,0.0126667,0.00166667,0.000666667
138,0.014,0.00133333,0.001
139,0.013,0.002,0.001
140,0.014,0.00166667,0.001
141,0.0123333,0.002,0.001
142,0.0133333,0.002,0.001
143,0.0133333,0.00233333,0.001
144,0.0146667,0.00233333,0.001
145,0.015,0.00233333,0.000333333
146,0.0143333,0.002,0.001
147,0.0143333,0.00233333,0.000666667
148,0.0143333,0.002,0.00133333
149,0.0163333,0.00233333,0.000666667
150,0.0153333,0.002,0.00133333
151,0.016,0.00266667,0.000333333
152,0.016,0.00233333,0.001
153,0.0156667,0.00233333,0.001
154,0.0156667,0.003,0.001
155,0.017,0.00233333,0.001
156,0.0166667,0.00333333,0.001
157,0.0173333,0.00333333,0.00133333
158,0.0176667,0.00266667,0.001
159,0.0186667,0.00233333,0.001
160,0.0183333,0.003,0.001
161,0.0186667,0.00266667,0.001
162,0.019,0.00266667,0.001
163,0.019,0.00333333,0.000333333
164,0.0196667,0.00333333,0.000666667
165,0.0196667,0.003,0.001
166,0.0213333,0.00333333,0.000666667
167,0.0206667,0.004,0.000333333
168,0.0223333,0.00266667,0.001
169,0.0226667,0.003,0.000333333
170,0.0233333,0.00333333,0.001
171,0.0243333,0.00266667,0.000666667
172,0.0243333,0.00233333,0.00133333
173,0.0253333,0.003,0.001
174,0.025,0.003,0.000666667
175,0.0246667,0.00266667,0.001
176,0.0256667,0.00233333,0.000666667
177,0.0246667,0.00333333,0.001
178,0.0256667,0.00333333,0.000666667
179,0.026,0.003,0.001
180,0.026,0.003,0.000666667
181,0.0276667,0.003,0.001
182,0.029,0.003,0.001
183,0.0286667,0.00266667,0.001
184,0.0286667,0.00266667,0.001
185,0.0276667,0.00266667,0.001
186,0.0293333,0.00266667,0.001
187,0.029,0.003,0.001
188,0.0293333,0.003,0.001
189,0.0293333,0.003,0.001
190,0.031,0.00333333,0.001
191,0.0296667,0.003,0.001
192,0.0316667,0.004,0.001
193,0.0336667,0.003,0.000666667
194,0.0346667,0.00333333,0.00133333
195,0.033,0.003,0.001
196,0.0323333,0.003,0.001
197,0.0336667,0.00366667,0.001
198,0.0336667,0.003,0.001
199,0.0356667,0.00433333,0.001
200,0.0393333,0.004,0.00133333
